,algorithm,size,iterations,time_ms
90,forwardchecking_mrv,4,8,1.000565
91,backtracking,8,113,0.303831
92,forwardchecking,8,88,0.467493
93,forwardchecking,8,88,0.495093
94,forwardchecking_mrv,8,75,0.651204
95,forwardchecking_mrv,8,75,0.622823
96,backtracking,8,113,0.296621
97,backtracking,8,113,0.321072
98,backtracking,8,113,0.314972
99,forwardchecking,8,88,0.494722
100,backtracking,8,113,0.293992
101,backtracking,8,113,0.251121
102,backtracking,8,113,0.252931
103,forwardchecking,8,88,0.666444
104,forwardchecking,8,88,0.679304
105,backtracking,8,113,0.258282
106,forwardchecking_mrv,8,75,0.752604
107,forwardchecking,8,88,0.475883
108,forwardchecking,8,88,0.606493
109,forwardchecking,8,88,0.555063
110,backtracking,8,113,0.257462
111,forwardchecking,8,88,0.534352
112,backtracking,8,113,0.254392
113,forwardchecking_mrv,8,75,0.662424
114,forwardchecking_mrv,8,75,0.834855
115,forwardchecking_mrv,8,75,0.671704
116,backtracking,8,113,0.428612
117,backtracking,8,113,0.277132
118,backtracking,8,113,0.251561
119,forwardchecking,8,88,0.722194
120,backtracking,8,113,0.331411
121,forwardchecking,8,88,0.567423
122,forwardchecking_mrv,8,75,1.732689
123,forwardchecking,8,88,0.747004
124,forwardchecking,8,88,0.741943
125,forwardchecking_mrv,8,75,1.82719
126,forwardchecking,8,88,0.720704
127,backtracking,8,113,0.233281
128,forwardchecking_mrv,8,75,2.229672
129,backtracking,8,113,0.433782
130,forwardchecking,8,88,0.547173
131,backtracking,8,113,0.378382
132,forwardchecking,8,88,0.552983
133,forwardchecking_mrv,8,75,1.076705
134,forwardchecking_mrv,8,75,0.738384
135,forwardchecking_mrv,8,75,0.754864
136,forwardchecking_mrv,8,75,1.057766
137,forwardchecking_mrv,8,75,2.127851
138,forwardchecking,8,88,0.576533
139,forwardchecking,8,88,0.743934
140,forwardchecking_mrv,8,75,2.005431
141,forwardchecking_mrv,8,75,0.821234
142,forwardchecking_mrv,8,75,0.618543
143,forwardchecking_mrv,8,75,0.669074
144,backtracking,8,113,0.426472
145,forwardchecking,8,88,0.458103
146,backtracking,8,113,0.289862
147,forwardchecking,8,88,0.459092
148,backtracking,8,113,0.240291
149,forwardchecking_mrv,8,75,1.81878
150,backtracking,8,113,0.255431
151,forwardchecking,8,88,0.750784
152,backtracking,8,113,0.237931
153,forwardchecking_mrv,8,75,1.573548
154,forwardchecking,8,88,0.494463
155,backtracking,8,113,0.297231
156,backtracking,8,113,0.241211
157,forwardchecking,8,88,0.709894
158,backtracking,8,113,0.457533
159,forwardchecking,8,88,0.453212
160,forwardchecking,8,88,0.795375
161,backtracking,8,113,0.271421
162,forwardchecking,8,88,0.459273
163,forwardchecking_mrv,8,75,1.051966
164,backtracking,8,113,0.268751
165,forwardchecking_mrv,8,75,1.92059
166,backtracking,8,113,0.339591
167,forwardchecking_mrv,8,75,1.071286
168,forwardchecking,8,88,0.503253
169,forwardchecking,8,88,0.538872
170,forwardchecking_mrv,8,75,0.738514
171,backtracking,8,113,0.280512
172,forwardchecking_mrv,8,75,0.839994
173,backtracking,10,102,0.288692
174,backtracking,10,102,0.323432
175,forwardchecking,8,88,0.597133
176,forwardchecking_mrv,8,75,0.718074
177,backtracking,10,102,0.403592
178,forwardchecking,8,88,0.541013
179,forwardchecking,10,83,0.493383
180,forwardchecking_mrv,8,75,0.632094
181,forwardchecking_mrv,8,75,0.905614
182,backtracking,10,102,0.343842
183,forwardchecking_mrv,8,75,0.703424
184,forwardchecking,10,83,0.659223
185,forwardchecking_mrv,10,35,0.440263
186,forwardchecking,10,83,0.784674
187,forwardchecking_mrv,8,75,0.745614
188,forwardchecking,10,83,0.571073
189,forwardchecking_mrv,10,35,0.479602
190,forwardchecking_mrv,10,35,0.386492
191,forwardchecking_mrv,10,35,0.411912
192,backtracking,10,102,0.308251
193,forwardchecking,10,83,0.557523
194,backtracking,10,102,0.321791
195,forwardchecking_mrv,10,35,0.471772
196,forwardchecking,10,83,0.551292
197,backtracking,10,102,0.276632
198,forwardchecking_mrv,10,35,0.439483
199,backtracking,10,102,0.298502
200,backtracking,10,102,0.277612
201,forwardchecking,10,83,0.565123
202,backtracking,10,102,0.327441
203,forwardchecking,10,83,0.638694
204,forwardchecking_mrv,10,35,0.376512
205,forwardchecking,10,83,0.718443
206,backtracking,10,102,0.329742
207,forwardchecking,10,83,0.509092
208,forwardchecking_mrv,10,35,0.540313
209,forwardchecking_mrv,10,35,0.391482
210,forwardchecking_mrv,10,35,0.373182
211,backtracking,10,102,0.324581
212,backtracking,10,102,0.277361
213,backtracking,10,102,0.278252
214,forwardchecking,10,83,0.669664
215,backtracking,10,102,0.278741
216,backtracking,10,102,0.393522
217,backtracking,10,102,0.288762
218,forwardchecking,10,83,0.567443
219,forwardchecking,10,83,0.638703
220,backtracking,10,102,0.502122
221,forwardchecking_mrv,10,35,0.645173
222,forwardchecking,10,83,0.805844
223,forwardchecking,10,83,0.498852
224,forwardchecking_mrv,10,35,0.431343
225,forwardchecking_mrv,10,35,0.450262
226,forwardchecking,10,83,0.871695
