,algorithm,goal_reached,solution_length,explored_states
1482,GoalAgentUCS,True,44,2486
1483,GoalAgentAStar,True,44,286
1484,GoalAgentUCS,True,98,5724
1485,GoalAgentUCS,True,80,6361
1486,GoalAgentBFS,True,28,904
1487,GoalAgentUCS,True,38,2471
1488,GoalAgentAStar,True,38,460
1489,GoalAgentAStar,True,80,802
1490,GoalAgentAStar,True,98,1728
1491,GoalAgentBFS,True,37,2077
1492,GoalAgentDFS,True,194,8355
1493,GoalAgentDFS,True,1007,7291
1494,GoalAgentDLS,False,0,3468
1495,GoalAgentUCS,True,28,904
1496,GoalAgentDLS,False,0,2921
1497,GoalAgentAStar,True,28,242
1498,GoalAgentUCS,True,37,2077
1499,GoalAgentAStar,True,37,431
